Small, 979, 17, 16, 19, 15
Small, 683, 16, 15, 10, 4
Small, 888, 24, 11, 2, 19
Small, 906, 16, 6, 8, 12
Small, 806, 13, 5, 5, 25
Small, 833, 7, 25, 25, 12
Small, 510, 2, 14, 17, 15
Small, 917, 13, 18, 1, 3
Small, 563, 17, 14, 8, 8
Small, 438, 2, 1, 1, 12
Small, 465, 9, 21, 5, 11
Small, 527, 3, 8, 20, 11
Small, 330, 9, 8, 9, 24
Small, 358, 17, 16, 9, 23
Small, 301, 2, 16, 3, 5
Small, 950, 13, 5, 7, 25
Small, 687, 7, 8, 15, 2
Small, 880, 22, 11, 14, 25
Small, 520, 6, 20, 12, 24
Small, 363, 8, 16, 2, 2
Small, 948, 21, 6, 14, 24
Small, 414, 17, 15, 11, 24
Small, 512, 10, 8, 15, 4
Small, 783, 7, 5, 3, 24
Small, 502, 17, 12, 6, 10
Small, 705, 4, 17, 5, 8
Small, 230, 15, 4, 18, 20
Small, 779, 12, 18, 6, 18
Small, 217, 5, 16, 20, 4
Small, 895, 20, 25, 8, 5
Medium, 40891, 20, 12, 20, 19
Medium, 13769, 22, 22, 19, 22
Medium, 19724, 8, 8, 1, 9
Medium, 73188, 6, 10, 4, 15
Medium, 12509, 15, 12, 23, 3
Medium, 76954, 7, 13, 6, 20
Medium, 39711, 1, 17, 8, 1
Medium, 24796, 17, 5, 20, 16
Medium, 87513, 12, 1, 3, 19
Medium, 90058, 1, 1, 10, 14
Medium, 87282, 5, 4, 12, 7
Medium, 61266, 20, 13, 21, 25
Medium, 80153, 24, 14, 11, 15
Medium, 30333, 11, 15, 25, 18
Medium, 35930, 12, 10, 23, 15
Medium, 79883, 17, 21, 7, 24
Medium, 58702, 25, 14, 10, 3
Medium, 98935, 13, 25, 19, 4
Medium, 46940, 4, 16, 22, 1
Medium, 46970, 5, 13, 5, 2
Medium, 90614, 19, 7, 17, 4
Medium, 30907, 17, 16, 3, 15
Medium, 50909, 3, 21, 10, 6
Medium, 65031, 13, 14, 14, 17
Medium, 91484, 8, 3, 11, 19
Medium, 48884, 19, 25, 19, 9
Medium, 30940, 17, 22, 7, 3
Medium, 39115, 25, 25, 4, 24
Medium, 71384, 16, 6, 14, 8
Medium, 12640, 6, 12, 13, 18
Large, 2496249, 11, 17, 8, 11
Large, 5771972, 23, 14, 2, 11
Large, 5953497, 1, 13, 19, 9
Large, 4813723, 9, 22, 10, 14
Large, 5953693, 25, 6, 21, 22
Large, 8013027, 19, 14, 3, 23
Large, 7809289, 10, 19, 23, 11
Large, 7469794, 19, 21, 8, 2
Large, 1519195, 10, 19, 10, 14
Large, 4245919, 21, 20, 16, 3
Large, 3800950, 12, 9, 25, 10
Large, 9719894, 13, 1, 15, 25
Large, 5364185, 18, 19, 24, 7
Large, 2515520, 12, 7, 3, 8
Large, 2300017, 23, 20, 12, 4
Large, 9962243, 5, 1, 19, 4
Large, 7809229, 9, 22, 21, 21
Large, 3365144, 8, 24, 25, 19
Large, 8313207, 9, 8, 22, 23
Large, 8939552, 22, 9, 23, 9
Large, 7509202, 5, 8, 7, 19
Large, 6861519, 8, 18, 6, 9
Large, 7746384, 14, 1, 19, 22
Large, 2282760, 16, 3, 7, 4
Large, 8906896, 4, 13, 20, 11
Large, 7634078, 20, 14, 11, 10
Large, 1898432, 6, 10, 14, 8
Large, 9052823, 10, 21, 22, 4
Large, 2522880, 15, 7, 3, 1
Large, 1607795, 13, 14, 14, 9
